"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu May 08 13:17:08 GMT 2025","Thu May 08 13:17:08 GMT 2025","568","","","","","","Attempt to renew a non-existent certificate",""
"passed","Thu May 08 13:17:05 GMT 2025","Thu May 08 13:17:05 GMT 2025","1","trustpoint.pki.tests.test_models","test_certificate_values","","","","test_certificate_status","Test if the certificate status is correctly set to OK."
"failed","Thu May 08 13:17:28 GMT 2025","Thu May 08 13:17:28 GMT 2025","579","","","","","","Invalid security level input is rejected",""
"failed","Thu May 08 13:17:11 GMT 2025","Thu May 08 13:17:11 GMT 2025","29","","","","","","Retrieve an existing identity -- @1.1 ",""
"failed","Thu May 08 13:17:22 GMT 2025","Thu May 08 13:17:22 GMT 2025","34","","","","","","Verify UI elements are translated correctly -- @1.2 ",""
"failed","Thu May 08 13:17:02 GMT 2025","Thu May 08 13:17:02 GMT 2025","570","","","","","","View an existing identity -- @1.2 ",""
"passed","Thu May 08 13:17:06 GMT 2025","Thu May 08 13:17:06 GMT 2025","1","trustpoint.pki.tests.test_models","test_certificate_values","","","","test_validity_period","Test if the validity period is correctly stored."
"failed","Thu May 08 13:17:15 GMT 2025","Thu May 08 13:17:15 GMT 2025","567","","","","","","Retrieving and filtering logs -- @1.1 ",""
"passed","Thu May 08 13:17:05 GMT 2025","Thu May 08 13:17:05 GMT 2025","0","trustpoint.pki.tests.test_models","test_certificate_values","","","","test_fingerprint","Test if the SHA256 fingerprint is correctly saved."
"failed","Thu May 08 13:17:10 GMT 2025","Thu May 08 13:17:11 GMT 2025","569","","","","","","Attempt to revoke an already revoked certificate -- @1.2 ",""
"failed","Thu May 08 13:17:33 GMT 2025","Thu May 08 13:17:34 GMT 2025","577","","","","","","Secure export of certificate templates",""
"failed","Thu May 08 13:17:11 GMT 2025","Thu May 08 13:17:11 GMT 2025","29","","","","","","Update an existing identity -- @1.2 ",""
