"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 08 13:09:31 GMT 2025","Thu May 08 13:09:31 GMT 2025","86","trustpoint.pki.tests.test_models","test_certificate_model","","","","test_save_certificate_method","Test that save_certificate method creates and stores a certificate model instance."
"failed","Thu May 08 13:09:27 GMT 2025","Thu May 08 13:09:28 GMT 2025","565","","","","","","View an existing identity -- @1.1 ",""
"failed","Thu May 08 13:09:48 GMT 2025","Thu May 08 13:09:48 GMT 2025","33","","","","","","Default language selection based on browser settings -- @1.2 ",""
"failed","Thu May 08 13:09:42 GMT 2025","Thu May 08 13:09:43 GMT 2025","569","","","","","","Configuring logging settings -- @1.1 ",""
"failed","Thu May 08 13:09:34 GMT 2025","Thu May 08 13:09:34 GMT 2025","566","","","","","","Attempt to renew a non-existent certificate",""
"failed","Thu May 08 13:09:39 GMT 2025","Thu May 08 13:09:40 GMT 2025","568","","","","","","Logging user actions -- @1.1 ",""
"passed","Thu May 08 13:09:25 GMT 2025","Thu May 08 13:09:25 GMT 2025","1","trustpoint.devices.tests","test_credential_download","","","","test_otp_generation","Test that a valid OTP is generated on save."
"failed","Thu May 08 13:09:27 GMT 2025","Thu May 08 13:09:27 GMT 2025","570","","","","","","Create a new identity -- @1.2 ",""
"passed","Thu May 08 13:09:30 GMT 2025","Thu May 08 13:09:30 GMT 2025","80","trustpoint.pki.tests.test_models","test_certificate_extensions","","","","test_inhibit_any_policy","Test that the Inhibit anyPolicy extension is parsed and stored correctly in the database."
"failed","Thu May 08 13:09:37 GMT 2025","Thu May 08 13:09:37 GMT 2025","29","","","","","","Retrieve an existing identity -- @1.2 ",""
"failed","Thu May 08 13:09:47 GMT 2025","Thu May 08 13:09:47 GMT 2025","570","","","","","","Verification of generated CA details",""
"failed","Thu May 08 13:09:26 GMT 2025","Thu May 08 13:09:26 GMT 2025","31","","","","","","NTEU initiates device onboarding using a zero-touch protocol",""
"passed","Thu May 08 13:09:32 GMT 2025","Thu May 08 13:09:32 GMT 2025","1","trustpoint.pki.tests.test_models","test_certificate_values","","","","test_public_key_pem","Test if the PEM-encoded public key is correctly saved."
"failed","Thu May 08 13:09:37 GMT 2025","Thu May 08 13:09:38 GMT 2025","567","","","","","","Verifying the backup mechanism -- @1.1 ",""
"failed","Thu May 08 13:09:48 GMT 2025","Thu May 08 13:09:49 GMT 2025","33","","","","","","Language setting persists after logout -- @1.4 ",""
"passed","Thu May 08 13:09:32 GMT 2025","Thu May 08 13:09:32 GMT 2025","156","trustpoint.pki.tests.test_models","test_issuing_ca_model","","","","test_revoke_all_issued_certificates_and_crl","Test that revoke_all_issued_certificates method and if crl is build correctly."
"failed","Thu May 08 13:09:26 GMT 2025","Thu May 08 13:09:26 GMT 2025","32","","","","","","NTEU views an existing digital identity",""
"passed","Thu May 08 13:09:32 GMT 2025","Thu May 08 13:09:32 GMT 2025","1","trustpoint.pki.tests.test_models","test_issuing_ca_model","","","","test_attributes_and_properties","Test that the common_name property returns the certificate's common name."
