"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Language Selection and Translation","","16","0","0","0","0"
"","Logging Capabilities","","9","0","0","0","0"
"","Certificate Template Security","","8","0","0","0","0"
"","NTEU Identity Management and Zero-Touch Onboarding","","8","0","0","0","0"
"","","","0","0","56","0","0"
"","CMP Endpoint for Onboarded Devices","","6","0","0","0","0"
"","Certificate lifecycle management via TPC_Web","","10","0","0","0","0"
"Features","R_013 Remote Credential Download","","0","0","4","0","0"
"","REST API interaction with TrustPoint","","11","0","0","0","0"
"","Auto-Generated Issuing CAs","","6","0","0","0","0"
"","Security Level Configuration","","8","0","0","0","0"
"","Backup, Restore, and Update Mechanisms","","3","0","0","0","0"
"","Manage digital identities via TPC_Web","","8","1","0","0","0"
"Features","R_011 EST Endpoint for Onboarded Devices","","6","0","0","0","0"
