"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu May 08 13:30:59 GMT 2025","Thu May 08 13:30:59 GMT 2025","571","","","","","","Handle non-existent identities",""
"failed","Thu May 08 13:31:27 GMT 2025","Thu May 08 13:31:28 GMT 2025","582","","","","","","Unauthorized deletion attempt",""
"failed","Thu May 08 13:31:17 GMT 2025","Thu May 08 13:31:17 GMT 2025","34","","","","","","Verify UI elements are translated correctly -- @1.1 ",""
"failed","Thu May 08 13:31:03 GMT 2025","Thu May 08 13:31:04 GMT 2025","569","","","","","","Attempt to renew a revoked certificate -- @1.2 ",""
"failed","Thu May 08 13:31:16 GMT 2025","Thu May 08 13:31:16 GMT 2025","34","","","","","","User manually selects a different language -- @1.1 ",""
"failed","Thu May 08 13:31:20 GMT 2025","Thu May 08 13:31:20 GMT 2025","581","","","","","","Admin sets security level for a component -- @1.1 ",""
"passed","Thu May 08 13:31:04 GMT 2025","Thu May 08 13:31:04 GMT 2025","92","trustpoint.pki.tests.test_models","test_certificate_extensions","","","","test_san_ext","Test that the SubjectAlternativeName extension is parsed and stored correctly in the database."
"failed","Thu May 08 13:30:55 GMT 2025","Thu May 08 13:30:56 GMT 2025","568","","","","","","View an existing identity -- @1.1 ",""
"passed","Thu May 08 13:31:19 GMT 2025","Thu May 08 13:31:20 GMT 2025","924","","R_013_Remote_Credential_Download","","","","User downloads credential on remote device browser",""
"failed","Thu May 08 13:31:05 GMT 2025","Thu May 08 13:31:05 GMT 2025","29","","","","","","Delete an identity -- @1.2 ",""
"failed","Thu May 08 13:31:05 GMT 2025","Thu May 08 13:31:05 GMT 2025","29","","","","","","Retrieve an existing identity -- @1.1 ",""
"passed","Thu May 08 13:31:06 GMT 2025","Thu May 08 13:31:06 GMT 2025","83","trustpoint.pki.tests.test_models","test_certificate_model","","","","test_save_certificate_with_serializer","Test saving a certificate using a CertificateSerializer instead of a raw x509.Certificate."
"failed","Thu May 08 13:31:07 GMT 2025","Thu May 08 13:31:08 GMT 2025","570","","","","","","Logging user actions -- @1.1 ",""
"failed","Thu May 08 13:31:05 GMT 2025","Thu May 08 13:31:05 GMT 2025","29","","","","","","Successfully create a new identity -- @1.2 ",""
"failed","Thu May 08 13:31:01 GMT 2025","Thu May 08 13:31:01 GMT 2025","613","","","","","","Successfully revoke a certificate -- @1.1 ",""
"failed","Thu May 08 13:31:00 GMT 2025","Thu May 08 13:31:01 GMT 2025","568","","","","","","Successfully renew a certificate -- @1.2 ",""
"failed","Thu May 08 13:30:55 GMT 2025","Thu May 08 13:30:55 GMT 2025","568","","","","","","Create a new identity -- @1.2 ",""
"passed","Thu May 08 13:31:08 GMT 2025","Thu May 08 13:31:08 GMT 2025","1","trustpoint.est.tests","test_est_interface","","","","test_issue_credential_invalid_template",""
"failed","Thu May 08 13:31:17 GMT 2025","Thu May 08 13:31:17 GMT 2025","34","","","","","","Verify UI elements are translated correctly -- @1.2 ",""
"passed","Thu May 08 13:31:07 GMT 2025","Thu May 08 13:31:07 GMT 2025","1","trustpoint.pki.tests.test_models","test_certificate_values","","","","test_ca_attributes","Test if CA-related attributes are correctly stored."
"passed","Thu May 08 13:31:06 GMT 2025","Thu May 08 13:31:06 GMT 2025","1","trustpoint.pki.tests.test_models","test_certificate_values","","","","test_signature_algorithm_oid","Test if the signature algorithm OID is correctly stored."
"failed","Thu May 08 13:31:21 GMT 2025","Thu May 08 13:31:22 GMT 2025","578","","","","","","Admin modifies an existing security level",""
"passed","Thu May 08 13:31:07 GMT 2025","Thu May 08 13:31:07 GMT 2025","1","trustpoint.pki.tests.test_models","test_certificate_values","","","","test_issuer_public_bytes","Test if the issuer public bytes are correctly saved."
"passed","Thu May 08 13:31:05 GMT 2025","Thu May 08 13:31:05 GMT 2025","88","trustpoint.pki.tests.test_models","test_certificate_extensions","","","","test_authority_information_access_extension","Test that the AIA extension is parsed and stored correctly in the database."
"failed","Thu May 08 13:31:22 GMT 2025","Thu May 08 13:31:23 GMT 2025","579","","","","","","Invalid security level input is rejected",""
"failed","Thu May 08 13:31:06 GMT 2025","Thu May 08 13:31:06 GMT 2025","572","","","","","","Verifying the backup mechanism -- @1.1 ",""
"passed","Thu May 08 13:31:06 GMT 2025","Thu May 08 13:31:06 GMT 2025","1","trustpoint.pki.tests.test_models","test_certificate_values","","","","test_common_name","Test if the common name is correctly saved in the certificate model."
"failed","Thu May 08 13:31:16 GMT 2025","Thu May 08 13:31:16 GMT 2025","33","","","","","","Unauthorized device attempts to access the EST endpoint",""
"failed","Thu May 08 13:31:10 GMT 2025","Thu May 08 13:31:11 GMT 2025","570","","","","","","Configuring logging settings -- @1.1 ",""
"passed","Thu May 08 13:31:05 GMT 2025","Thu May 08 13:31:05 GMT 2025","0","trustpoint.pki.tests.test_models","test_certificate_extensions","","","","test_freshest_crl","Test that the freshest crl extension is parsed and stored correctly in the database."
"failed","Thu May 08 13:31:05 GMT 2025","Thu May 08 13:31:05 GMT 2025","29","","","","","","Delete an identity -- @1.1 ",""
"failed","Thu May 08 13:31:17 GMT 2025","Thu May 08 13:31:17 GMT 2025","35","","","","","","Language setting persists after logout -- @1.4 ",""
"failed","Thu May 08 13:31:13 GMT 2025","Thu May 08 13:31:13 GMT 2025","572","","","","","","Auto-generation with different configurations -- @1.1 ",""
"failed","Thu May 08 13:31:08 GMT 2025","Thu May 08 13:31:09 GMT 2025","569","","","","","","Logging user actions -- @1.3 ",""
"passed","Thu May 08 13:31:07 GMT 2025","Thu May 08 13:31:07 GMT 2025","43","trustpoint.pki.tests.test_models","test_issuing_ca_model","","","","test_issue_crl",""
"failed","Thu May 08 13:31:05 GMT 2025","Thu May 08 13:31:06 GMT 2025","30","","","","","","Attempt to retrieve a non-existent identity -- @1.2 ",""
"failed","Thu May 08 13:31:17 GMT 2025","Thu May 08 13:31:17 GMT 2025","35","","","","","","Verify UI elements are translated correctly -- @1.4 ",""
"failed","Thu May 08 13:30:54 GMT 2025","Thu May 08 13:30:55 GMT 2025","594","","","","","","Create a new identity -- @1.1 ",""
"passed","Thu May 08 13:31:01 GMT 2025","Thu May 08 13:31:01 GMT 2025","1","trustpoint.devices.tests","test_credential_download","","","","test_otp_generation","Test that a valid OTP is generated on save."
"failed","Thu May 08 13:31:17 GMT 2025","Thu May 08 13:31:17 GMT 2025","35","","","","","","User manually selects a different language -- @1.4 ",""
"failed","Thu May 08 13:31:09 GMT 2025","Thu May 08 13:31:10 GMT 2025","570","","","","","","Retrieving and filtering logs -- @1.2 ",""
"passed","Thu May 08 13:31:08 GMT 2025","Thu May 08 13:31:08 GMT 2025","13","trustpoint.pki.tests.test_models","test_issuing_ca_model","","","","test_issuing_ca_delete","Tests that the issuing CA can be deleted only if it has no associated domains."
"failed","Thu May 08 13:31:16 GMT 2025","Thu May 08 13:31:16 GMT 2025","30","","","","","","A device successfully requests a certificate",""
"failed","Thu May 08 13:31:16 GMT 2025","Thu May 08 13:31:16 GMT 2025","34","","","","","","User manually selects a different language -- @1.2 ",""
"passed","Thu May 08 13:31:02 GMT 2025","Thu May 08 13:31:02 GMT 2025","20","trustpoint.devices.tests","test_model_delete","","","","test_domain_delete","Tests that a domain can be deleted only if it has no associated devices."
"failed","Thu May 08 13:31:05 GMT 2025","Thu May 08 13:31:05 GMT 2025","29","","","","","","Attempt to access the API without authentication",""
"passed","Thu May 08 13:31:05 GMT 2025","Thu May 08 13:31:05 GMT 2025","122","trustpoint.pki.tests.test_models","test_certificate_extensions","","","","test_extension_deletion","Test that all extensions are deleted when the certificate is deleted."
"failed","Thu May 08 13:31:08 GMT 2025","Thu May 08 13:31:08 GMT 2025","569","","","","","","Logging user actions -- @1.2 ",""
"failed","Thu May 08 13:31:28 GMT 2025","Thu May 08 13:31:28 GMT 2025","579","","","","","","Secure export of certificate templates",""
"failed","Thu May 08 13:31:05 GMT 2025","Thu May 08 13:31:05 GMT 2025","29","","","","","","Update an existing identity -- @1.1 ",""
"failed","Thu May 08 13:31:16 GMT 2025","Thu May 08 13:31:16 GMT 2025","34","","","","","","Default language selection based on browser settings -- @1.1 ",""
"failed","Thu May 08 13:31:16 GMT 2025","Thu May 08 13:31:17 GMT 2025","34","","","","","","User manually selects a different language -- @1.3 ",""
"passed","Thu May 08 13:31:06 GMT 2025","Thu May 08 13:31:06 GMT 2025","0","trustpoint.pki.tests.test_models","test_certificate_values","","","","test_is_self_signed","Test if the certificate is correctly identified as self-signed."
"passed","Thu May 08 13:31:19 GMT 2025","Thu May 08 13:31:19 GMT 2025","48","","R_013_Remote_Credential_Download","","","","User enters one time password incorrectly",""
"failed","Thu May 08 13:30:59 GMT 2025","Thu May 08 13:31:00 GMT 2025","571","","","","","","Successfully renew a certificate -- @1.1 ",""
"failed","Thu May 08 13:31:17 GMT 2025","Thu May 08 13:31:17 GMT 2025","34","","","","","","Language setting persists after logout -- @1.3 ",""
"passed","Thu May 08 13:31:04 GMT 2025","Thu May 08 13:31:04 GMT 2025","95","trustpoint.pki.tests.test_models","test_certificate_extensions","","","","test_certificate_policies_multiple_entries","Test that policy extensions with multiple qualifier entries are parsed and stored correctly in the database."
"failed","Thu May 08 13:31:15 GMT 2025","Thu May 08 13:31:15 GMT 2025","571","","","","","","Verification of generated CA details",""
"passed","Thu May 08 13:31:08 GMT 2025","Thu May 08 13:31:08 GMT 2025","2","trustpoint.est.tests","test_est_interface","","","","test_authenticate_username_password_success",""
"failed","Thu May 08 13:30:57 GMT 2025","Thu May 08 13:30:57 GMT 2025","568","","","","","","Edit an existing identity -- @1.1 ",""
"passed","Thu May 08 13:31:06 GMT 2025","Thu May 08 13:31:06 GMT 2025","1","trustpoint.pki.tests.test_models","test_certificate_values","","","","test_certificate_status","Test if the certificate status is correctly set to OK."
"passed","Thu May 08 13:31:07 GMT 2025","Thu May 08 13:31:07 GMT 2025","0","trustpoint.pki.tests.test_models","test_certificate_values","","","","test_validity_period","Test if the validity period is correctly stored."
"passed","Thu May 08 13:31:03 GMT 2025","Thu May 08 13:31:03 GMT 2025","340","trustpoint.pki.tests","test_auto_gen_pki","","","","test_auto_gen_pki[RSA2048SHA256]","Test that the auto-generated PKI can be correctly enabled, used and disabled."
"failed","Thu May 08 13:30:54 GMT 2025","Thu May 08 13:30:54 GMT 2025","33","","","","","","NTEU logs into the system -- @1.2 ",""
"failed","Thu May 08 13:31:16 GMT 2025","Thu May 08 13:31:16 GMT 2025","35","","","","","","Admin revokes a device certificate",""
"failed","Thu May 08 13:31:16 GMT 2025","Thu May 08 13:31:16 GMT 2025","33","","","","","","Default language selection based on browser settings -- @1.2 ",""
"passed","Thu May 08 13:31:07 GMT 2025","Thu May 08 13:31:07 GMT 2025","1","trustpoint.pki.tests.test_models","test_issuing_ca_model","","","","test_attributes_and_properties","Test that the common_name property returns the certificate's common name."
"passed","Thu May 08 13:31:04 GMT 2025","Thu May 08 13:31:04 GMT 2025","84","trustpoint.pki.tests.test_models","test_certificate_extensions","","","","test_extended_key_usage_ext","Test that the ExtendedKeyUsage extension is parsed and stored correctly in the database."
"passed","Thu May 08 13:31:04 GMT 2025","Thu May 08 13:31:04 GMT 2025","88","trustpoint.pki.tests.test_models","test_certificate_extensions","","","","test_authority_key_identifier_ext","Test that the AuthorityKeyIdentifier extension is parsed and stored correctly in the database."
