"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 08 11:55:41 GMT 2025","Thu May 08 11:55:41 GMT 2025","1","trustpoint.devices.tests","test_credential_download","","","","test_otp_generation","Test that a valid OTP is generated on save."
"failed","Thu May 08 11:56:05 GMT 2025","Thu May 08 11:56:05 GMT 2025","35","","","","","","Verify UI elements are translated correctly -- @1.2 ",""
"passed","Thu May 08 11:56:05 GMT 2025","Thu May 08 11:56:06 GMT 2025","863","","","","","","Admin creates one time password",""
"failed","Thu May 08 11:56:04 GMT 2025","Thu May 08 11:56:04 GMT 2025","31","","","","","","High load certificate issuance -- @1.2 ",""
"failed","Thu May 08 11:55:46 GMT 2025","Thu May 08 11:55:47 GMT 2025","570","","","","","","Delete an existing identity -- @1.1 ",""
"passed","Thu May 08 11:55:42 GMT 2025","Thu May 08 11:55:42 GMT 2025","21","trustpoint.devices.tests","test_model_delete","","","","test_device_delete_revocation","Tests that credentials issued to a device are deleted and certificates revoked on device deletion."
"failed","Thu May 08 11:55:52 GMT 2025","Thu May 08 11:55:53 GMT 2025","571","","","","","","Attempt to revoke an already revoked certificate -- @1.1 ",""
"passed","Thu May 08 11:55:44 GMT 2025","Thu May 08 11:55:44 GMT 2025","78","trustpoint.pki.tests.test_models","test_certificate_extensions","","","","test_basic_constraints_ext","Test that the BasicConstraints extension is parsed and stored correctly in the database."
"failed","Thu May 08 11:56:08 GMT 2025","Thu May 08 11:56:09 GMT 2025","586","","","","","","Admin sets security level for a component -- @1.2 ",""
"passed","Thu May 08 11:55:48 GMT 2025","Thu May 08 11:55:48 GMT 2025","165","trustpoint.pki.tests.test_models","test_issuing_ca_model","","","","test_revoke_all_issued_certificates_and_crl","Test that revoke_all_issued_certificates method and if crl is build correctly."
"passed","Thu May 08 11:55:48 GMT 2025","Thu May 08 11:55:48 GMT 2025","13","trustpoint.pki.tests.test_models","test_issuing_ca_model","","","","test_issuing_ca_delete","Tests that the issuing CA can be deleted only if it has no associated domains."
"failed","Thu May 08 11:55:54 GMT 2025","Thu May 08 11:55:54 GMT 2025","29","","","","","","Successfully create a new identity -- @1.2 ",""
"failed","Thu May 08 11:56:14 GMT 2025","Thu May 08 11:56:14 GMT 2025","590","","","","","","Unauthorized user attempts to modify a certificate template -- @1.1 ",""
"failed","Thu May 08 11:55:42 GMT 2025","Thu May 08 11:55:42 GMT 2025","33","","","","","","NTEU deletes a digital identity",""
"failed","Thu May 08 11:56:09 GMT 2025","Thu May 08 11:56:10 GMT 2025","584","","","","","","Admin sets security level for a component -- @1.3 ",""
"failed","Thu May 08 11:55:42 GMT 2025","Thu May 08 11:55:43 GMT 2025","33","","","","","","NTEU initiates device onboarding using a zero-touch protocol",""
"failed","Thu May 08 11:55:43 GMT 2025","Thu May 08 11:55:44 GMT 2025","569","","","","","","Create a new identity -- @1.2 ",""
"failed","Thu May 08 11:56:10 GMT 2025","Thu May 08 11:56:10 GMT 2025","588","","","","","","Admin modifies an existing security level",""
"failed","Thu May 08 11:55:42 GMT 2025","Thu May 08 11:55:42 GMT 2025","33","","","","","","NTEU creates a digital identity",""
"passed","Thu May 08 11:55:45 GMT 2025","Thu May 08 11:55:45 GMT 2025","78","trustpoint.pki.tests.test_models","test_certificate_extensions","","","","test_extended_key_usage_ext","Test that the ExtendedKeyUsage extension is parsed and stored correctly in the database."
"failed","Thu May 08 11:55:42 GMT 2025","Thu May 08 11:55:42 GMT 2025","69","","","","","","NTEU logs into the system -- @1.1 ",""
"failed","Thu May 08 11:55:54 GMT 2025","Thu May 08 11:55:54 GMT 2025","29","","","","","","Delete an identity -- @1.1 ",""
"passed","Thu May 08 11:55:43 GMT 2025","Thu May 08 11:55:43 GMT 2025","18","trustpoint.devices.tests","test_model_delete","","","","test_multi_device_delete","Tests that multiple devices can be deleted and pre_delete is called even on a QuerySet of DeviceModels."
"failed","Thu May 08 11:55:48 GMT 2025","Thu May 08 11:55:49 GMT 2025","616","","","","","","Successfully renew a certificate -- @1.2 ",""
"passed","Thu May 08 11:55:47 GMT 2025","Thu May 08 11:55:47 GMT 2025","0","trustpoint.pki.tests.test_models","test_certificate_values","","","","test_signature_algorithm_oid","Test if the signature algorithm OID is correctly stored."
"passed","Thu May 08 11:55:48 GMT 2025","Thu May 08 11:55:48 GMT 2025","43","trustpoint.pki.tests.test_models","test_issuing_ca_model","","","","test_issue_crl",""
"failed","Thu May 08 11:56:01 GMT 2025","Thu May 08 11:56:02 GMT 2025","572","","","","","","Auto-generation with different configurations -- @1.1 ",""
"failed","Thu May 08 11:55:49 GMT 2025","Thu May 08 11:55:50 GMT 2025","577","","","","","","Successfully revoke a certificate -- @1.2 ",""
"failed","Thu May 08 11:55:42 GMT 2025","Thu May 08 11:55:42 GMT 2025","33","","","","","","NTEU views an existing digital identity",""
