"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue May 27 06:44:29 GMT 2025","Tue May 27 06:44:29 GMT 2025","574","","R_007_Logging_capabilities","","","","Logging user actions -- @1.1 ",""
"failed","Tue May 27 06:44:33 GMT 2025","Tue May 27 06:44:33 GMT 2025","574","","R_007_Logging_capabilities","","","","Configuring logging settings -- @1.3 ",""
"failed","Tue May 27 06:44:19 GMT 2025","Tue May 27 06:44:20 GMT 2025","568","","R_001_Manage_digital_identities_via_TPC_Web","","","","Delete an existing identity -- @1.1 ",""
"failed","Tue May 27 06:44:25 GMT 2025","Tue May 27 06:44:26 GMT 2025","570","","R_003_Certificate_lifecycle_management_via_TPC_Web","","","","Attempt to renew a revoked certificate -- @1.2 ",""
"passed","Tue May 27 06:44:26 GMT 2025","Tue May 27 06:44:26 GMT 2025","77","trustpoint.pki.tests.test_models","test_certificate_extensions","","","","test_policy_constraints","Test that the Inhibit anyPolicy extension is parsed and stored correctly in the database."
"passed","Tue May 27 06:44:27 GMT 2025","Tue May 27 06:44:27 GMT 2025","1","trustpoint.pki.tests.test_models","test_certificate_values","","","","test_certificate_status","Test if the certificate status is correctly set to OK."
"failed","Tue May 27 06:44:38 GMT 2025","Tue May 27 06:44:38 GMT 2025","33","","R_012_Multi_language_support","","","","Default language selection based on browser settings -- @1.3 ",""
"failed","Tue May 27 06:44:18 GMT 2025","Tue May 27 06:44:18 GMT 2025","570","","R_001_Manage_digital_identities_via_TPC_Web","","","","View an existing identity -- @1.2 ",""
"failed","Tue May 27 06:44:38 GMT 2025","Tue May 27 06:44:38 GMT 2025","34","","R_012_Multi_language_support","","","","Verify UI elements are translated correctly -- @1.1 ",""
"failed","Tue May 27 06:44:27 GMT 2025","Tue May 27 06:44:27 GMT 2025","29","","R_004_REST_API_interaction_with_Trustpoint","","","","Attempt to retrieve a non-existent identity -- @1.2 ",""
"passed","Tue May 27 06:44:28 GMT 2025","Tue May 27 06:44:28 GMT 2025","0","trustpoint.pki.tests.test_models","test_certificate_values","","","","test_certificate_pem","Test if the PEM-encoded certificate is correctly saved."
"failed","Tue May 27 06:44:27 GMT 2025","Tue May 27 06:44:27 GMT 2025","29","","R_004_REST_API_interaction_with_Trustpoint","","","","Successfully create a new identity -- @1.1 ",""
"failed","Tue May 27 06:44:30 GMT 2025","Tue May 27 06:44:30 GMT 2025","572","","R_007_Logging_capabilities","","","","Logging user actions -- @1.3 ",""
"failed","Tue May 27 06:44:45 GMT 2025","Tue May 27 06:44:45 GMT 2025","579","","R_101_Security_Configuration","","","","Security level affects system behavior",""
"failed","Tue May 27 06:44:38 GMT 2025","Tue May 27 06:44:38 GMT 2025","30","","R_010_CMP_Endpoint","","","","High load certificate issuance -- @1.2 ",""
"passed","Tue May 27 06:44:28 GMT 2025","Tue May 27 06:44:28 GMT 2025","0","trustpoint.pki.tests.test_models","test_certificate_values","","","","test_public_key_pem","Test if the PEM-encoded public key is correctly saved."
"failed","Tue May 27 06:44:21 GMT 2025","Tue May 27 06:44:22 GMT 2025","568","","R_003_Certificate_lifecycle_management_via_TPC_Web","","","","Successfully renew a certificate -- @1.1 ",""
"failed","Tue May 27 06:44:33 GMT 2025","Tue May 27 06:44:34 GMT 2025","573","","R_007_Logging_capabilities","","","","Ensuring log storage and integrity",""
"failed","Tue May 27 06:44:37 GMT 2025","Tue May 27 06:44:37 GMT 2025","29","","R_010_CMP_Endpoint","","","","Admin revokes a device certificate",""
"failed","Tue May 27 06:44:42 GMT 2025","Tue May 27 06:44:42 GMT 2025","577","","R_101_Security_Configuration","","","","Admin sets security level for a component -- @1.2 ",""
"failed","Tue May 27 06:44:34 GMT 2025","Tue May 27 06:44:34 GMT 2025","570","","R_008_Auto_generated_Issuing_CAs","","","","Successful auto-generation of an issuing CA",""
"failed","Tue May 27 06:44:43 GMT 2025","Tue May 27 06:44:43 GMT 2025","587","","R_101_Security_Configuration","","","","Admin modifies an existing security level",""
"failed","Tue May 27 06:44:20 GMT 2025","Tue May 27 06:44:20 GMT 2025","568","","R_001_Manage_digital_identities_via_TPC_Web","","","","Delete an existing identity -- @1.2 ",""
"passed","Tue May 27 06:44:27 GMT 2025","Tue May 27 06:44:27 GMT 2025","78","trustpoint.pki.tests.test_models","test_certificate_model","","","","test_save_certificate_with_serializer","Test saving a certificate using a CertificateSerializer instead of a raw x509.Certificate."
"failed","Tue May 27 06:44:38 GMT 2025","Tue May 27 06:44:38 GMT 2025","31","","R_011_EST_Endpoint_for_Onboarded_Devices","","","","An onboarded device renews its certificate",""
"passed","Tue May 27 06:44:24 GMT 2025","Tue May 27 06:44:24 GMT 2025","89","trustpoint.pki.tests.test_models","test_certificate_extensions","","","","test_key_usage_ext","Test that the KeyUsage extension is parsed and stored correctly in the database."
"failed","Tue May 27 06:44:38 GMT 2025","Tue May 27 06:44:38 GMT 2025","33","","R_012_Multi_language_support","","","","User manually selects a different language -- @1.3 ",""
"failed","Tue May 27 06:44:17 GMT 2025","Tue May 27 06:44:18 GMT 2025","575","","R_001_Manage_digital_identities_via_TPC_Web","","","","View an existing identity -- @1.1 ",""
"failed","Tue May 27 06:44:38 GMT 2025","Tue May 27 06:44:38 GMT 2025","34","","R_012_Multi_language_support","","","","Verify UI elements are translated correctly -- @1.3 ",""
