"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu May 08 12:44:02 GMT 2025","Thu May 08 12:44:02 GMT 2025","30","","","","","","Retrieve an existing identity -- @1.1 ",""
"failed","Thu May 08 12:44:02 GMT 2025","Thu May 08 12:44:02 GMT 2025","31","","","","","","Update an existing identity -- @1.2 ",""
"failed","Thu May 08 12:44:05 GMT 2025","Thu May 08 12:44:05 GMT 2025","571","","","","","","Logging user actions -- @1.2 ",""
"failed","Thu May 08 12:44:00 GMT 2025","Thu May 08 12:44:01 GMT 2025","570","","","","","","Attempt to renew a revoked certificate -- @1.2 ",""
"failed","Thu May 08 12:44:09 GMT 2025","Thu May 08 12:44:10 GMT 2025","572","","","","","","Successful auto-generation of an issuing CA",""
"passed","Thu May 08 12:44:14 GMT 2025","Thu May 08 12:44:15 GMT 2025","1004","","","","","","Admin creates one time password",""
"passed","Thu May 08 12:44:10 GMT 2025","Thu May 08 12:44:10 GMT 2025","2","trustpoint.pki.tests.test_models","test_certificate_values","","","","test_subject_attributes","Test if subject attributes are correctly stored."
"failed","Thu May 08 12:43:51 GMT 2025","Thu May 08 12:43:51 GMT 2025","33","","","","","","NTEU views an existing digital identity",""
"failed","Thu May 08 12:44:00 GMT 2025","Thu May 08 12:44:00 GMT 2025","570","","","","","","Attempt to renew a revoked certificate -- @1.1 ",""
"failed","Thu May 08 12:44:19 GMT 2025","Thu May 08 12:44:20 GMT 2025","579","","","","","","Invalid security level input is rejected",""
"failed","Thu May 08 12:44:06 GMT 2025","Thu May 08 12:44:06 GMT 2025","574","","","","","","Retrieving and filtering logs -- @1.1 ",""
"passed","Thu May 08 12:44:11 GMT 2025","Thu May 08 12:44:11 GMT 2025","1","trustpoint.est.tests","test_est_interface","","","","test_authenticate_username_password_success",""
"passed","Thu May 08 12:44:10 GMT 2025","Thu May 08 12:44:10 GMT 2025","1","trustpoint.pki.tests.test_models","test_certificate_values","","","","test_issuer_attributes","Test if issuer attributes are correctly stored."
"passed","Thu May 08 12:44:07 GMT 2025","Thu May 08 12:44:08 GMT 2025","87","trustpoint.pki.tests.test_models","test_certificate_extensions","","","","test_certificate_policies_multiple_entries","Test that policy extensions with multiple qualifier entries are parsed and stored correctly in the database."
"passed","Thu May 08 12:44:09 GMT 2025","Thu May 08 12:44:09 GMT 2025","1","trustpoint.pki.tests.test_models","test_certificate_values","","","","test_common_name","Test if the common name is correctly saved in the certificate model."
"failed","Thu May 08 12:44:07 GMT 2025","Thu May 08 12:44:08 GMT 2025","573","","","","","","Configuring logging settings -- @1.2 ",""
"failed","Thu May 08 12:44:13 GMT 2025","Thu May 08 12:44:13 GMT 2025","32","","","","","","High load certificate issuance -- @1.1 ",""
"passed","Thu May 08 12:44:09 GMT 2025","Thu May 08 12:44:09 GMT 2025","1","trustpoint.pki.tests.test_models","test_certificate_values","","","","test_is_self_signed","Test if the certificate is correctly identified as self-signed."
"failed","Thu May 08 12:44:01 GMT 2025","Thu May 08 12:44:01 GMT 2025","571","","","","","","Attempt to revoke an already revoked certificate -- @1.1 ",""
"failed","Thu May 08 12:44:13 GMT 2025","Thu May 08 12:44:13 GMT 2025","36","","","","","","User manually selects a different language -- @1.3 ",""
"passed","Thu May 08 12:44:09 GMT 2025","Thu May 08 12:44:09 GMT 2025","6","trustpoint.pki.tests.test_models","test_certificate_extensions","","","","test_basic_certificate_deletion","Test that the basic certificate is deleted without exceptions."
"passed","Thu May 08 12:44:06 GMT 2025","Thu May 08 12:44:06 GMT 2025","3","trustpoint.devices.tests","test_model_delete","","","","test_ca_delete_with_issued_certificates","Tests that a CA can be deleted only if it has no associated domains and no issued unexpired certificates."
"failed","Thu May 08 12:44:13 GMT 2025","Thu May 08 12:44:14 GMT 2025","36","","","","","","Language setting persists after logout -- @1.3 ",""
"failed","Thu May 08 12:44:06 GMT 2025","Thu May 08 12:44:07 GMT 2025","571","","","","","","Retrieving and filtering logs -- @1.2 ",""
"failed","Thu May 08 12:44:13 GMT 2025","Thu May 08 12:44:13 GMT 2025","36","","","","","","Default language selection based on browser settings -- @1.2 ",""
"passed","Thu May 08 12:44:10 GMT 2025","Thu May 08 12:44:11 GMT 2025","46","trustpoint.pki.tests.test_models","test_issuing_ca_model","","","","test_issue_crl",""
"failed","Thu May 08 12:44:07 GMT 2025","Thu May 08 12:44:07 GMT 2025","576","","","","","","Configuring logging settings -- @1.1 ",""
"failed","Thu May 08 12:44:05 GMT 2025","Thu May 08 12:44:06 GMT 2025","572","","","","","","Logging user actions -- @1.3 ",""
